5000.0,PRZYCHOD,pensja,2026-02-01,Wyplata miesieczna
200.0,PRZYCHOD,prezent,2026-02-10,Prezenty urodzinowe
1500.0,PRZYCHOD,firma,2026-01-20,Dodatkowy projekt
300.0,WYDATEK,jedzenie,2026-02-03,Zakupy spozywcze
100.0,WYDATEK,transport,2026-02-05,Bilety komunikacji
50.0,WYDATEK,rozrywka,2026-02-15,Kino
400.0,WYDATEK,jedzenie,2026-01-25,Kolacja
250.0,WYDATEK,transport,2026-01-28,Benzyna
1000.0,PRZYCHOD,pensja,2026-01-01,Wyplata miesieczna
600.0,WYDATEK,mieszkanie,2026-02-02,Czynsz
150.0,WYDATEK,rozrywka,2026-01-15,Ksiazki
20000.0,PRZYCHOD,wyplata,2026-04-07,podwyzka
